dist,Counts
0,3
1,9
2,7
3,5
4,2
5,12
6,5
7,3
8,2
9,2
10,1
11,3
12,2
13,3
14,1
15,4
16,1
17,13
18,44
19,3
20,8
21,2
22,1
23,15
24,1
25,3
26,6
27,1
30,3
31,3
32,2
33,2
35,3
36,1
39,2
40,2
42,2
43,3
52,2
54,1
58,1
65,18
66,1
67,2
68,2
69,1
73,1
76,1
98,1
104,1
107,1
109,2
112,1
116,1
117,6
119,6
124,2
127,1
132,1
133,1
134,1
136,1
137,1
151,1
152,1
153,1
173,1
205,1
220,2
221,1
227,1
231,1
258,1
259,1
260,1
263,1
273,3
292,1
299,1
306,1
321,1
326,3
356,7
376,1
424,2
438,1
442,1
444,1
449,7
