dist,Counts
0,3
1,1
2,6
3,6
4,5
5,8
6,18
7,3
8,9
9,2
10,1
11,2
12,1
14,1
15,4
16,2
17,3
18,18
19,2
20,20
21,3
22,2
24,7
27,2
28,3
30,3
31,7
32,2
34,1
35,3
36,3
37,2
41,4
43,11
44,5
47,3
50,1
53,5
67,2
68,2
69,1
70,6
71,1
73,8
74,5
75,4
76,1
79,10
80,40
103,2
135,2
136,1
225,4
