dist,Counts
0,34
1,41
2,15
3,21
4,9
5,17
6,11
7,4
8,2
9,7
10,4
11,1
12,3
13,5
14,6
15,7
16,9
17,3
18,6
19,8
21,3
22,10
23,1
24,3
25,1
26,1
29,2
34,2
39,1
41,2
43,1
44,1
46,4
48,1
50,1
51,1
53,1
55,1
58,1
60,2
63,1
64,1
65,1
69,1
71,1
74,1
75,3
76,1
77,2
89,2
92,3
93,2
94,1
101,1
102,1
103,1
104,1
141,1
